ID,original_ID,tweet,modified_tweet,sarcastic,exp,prediction,correct,negation,fluency,adequacy
1377.0,sign_3530,i just looooove getting big cases on friday afternoons,i just looooove getting big cases on friday afternoons,1,exp3,1,1,I just don't looooove getting big cases on friday afternoons,,
,lingkling_78603,oh how i love being made out to a huge bitch. #sarcasm,oh how i love being made out to a huge bitch.,1,exp1,1,1,Oh how i don't love being made out to a huge bitch.,,
,lingkling_69316,I FUCKING LOVE SPAM MARKETING TEXTS &gt;:( #sarcasm,I FUCKING LOVE SPAM MARKETING TEXTS >:(,1,exp3,1,1,I FUCKING LOVE SPAM MARKETING TEXTS >:(,,
5125.0,sign_3595,yes because i loved to be ignored,yes because i loved to be ignored,1,exp1,1,1,Yes because i didn't love to be ignored,,
17396.0,train_228,I love when I start choking on my water in my 8 person class,I love when I start choking on my water in my 8 person class,1,exp1,1,1,I don't love when I start choking on my water in my 8 person class,,
5350.0,test_a_1175,love it when R gives me the 500th error code of the day,love it when R gives me the 500th error code of the day,1,exp2,1,1,Don't love it when R gives me the 500th error code of the day,,
,lingkling_55513,I'd love to see a Christian who has been criminalized IN THIS COUNTRY #GOPDebate,I'd love to see a Christian who has been criminalized IN THIS COUNTRY,0,exp1,1,0,I hadn't love to see a Christian who has been criminalized IN THIS COUNTRY,,
,lingkling_70056,looovve getting raw chicken nuggets from farmer boys ğŸ˜ #sarcasm #actuallydisgusting,looovve getting raw chicken nuggets from farmer boys ğŸ˜,1,exp2,0,0,,,
3287.0,train_555,Love it when someone buys a Â£175 coffee machine in Paris with my debit card ğŸ˜•,Love it when someone buys a Â£175 coffee machine in Paris with my debit card ğŸ˜•,1,exp2,0,0,,,
,lingkling_71549,Nothing I love more than watching an idiot race in the right lane to insert himself 1 car length ahead of me in the left lane. #Sarcasm,Nothing I love more than watching an idiot race in the right lane to insert himself 1 car length ahead of me in the left lane.,1,exp1,0,0,,,
546.0,train_109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep","I love it when drunk, inconsiderate flatmates come back and start climbing on the roof",1,exp1,1,1,"I don't love it when drunk, inconsiderate flatmates come back and start climbing on the roof",,
9930.0,sign_12280,i love being too mentally ill to email my mental health care provider,i love being too mentally ill to email my mental health care provider,1,exp1,1,1,I don't love being too mentally ill to email my mental health care provider,,
,lingkling_75008,I love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare. #sarcasm,I love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare.,1,exp1,1,1,I don't love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare.,,
8399.0,sign_12179,i love listening to my neighbors blast spanish music,i love listening to my neighbors blast spanish music,1,exp1,1,1,I don't love listening to my neighbors blast spanish music,,
,lingkling_50722,I #hate #drugs because I love you! ğŸ˜˜ğŸ˜˜ğŸ˜˜ #Why,I hate drugs because I love you! ğŸ˜˜ğŸ˜˜ğŸ˜˜,0,exp1,1,0,I don't hate drugs because I love you! ğŸ˜˜ğŸ˜˜ğŸ˜˜,,
,lingkling_73681,I love spending a ridiculous amount of money on healthy food.. ğŸ˜’ #sarcasm,I love spending a ridiculous amount of money on healthy food.. ğŸ˜’,1,exp1,0,0,,,
,lingkling_75841,i just love when people stare at me #sarcasm like idek know what is going through their minds ğŸ‘½ğŸ˜¶,i just love when people stare at me like idek know what is going through their minds ğŸ‘½ğŸ˜¶,1,exp3,1,1,I just don't love when people stare at me like idek know what is going through their minds ğŸ‘½ğŸ˜¶,,
,lingkling_80149,Love how much time me &amp; my boyfriend spend together.  #sarcasm ğŸ˜’,Love how much time me & my boyfriend spend together. ğŸ˜’,1,exp2,0,0,,,
14016.0,sign_6575,i love the fact i can't go to sleep when i get off,i love the fact i can't go to sleep when i get off,1,exp1,1,1,I don't love the fact i can't go to sleep when i get off,,
9190.0,train_2824,i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,0,exp1,1,0,I don't love smoothies bc u can really eat half a bag of spinach and just not taste it at all,,
156.0,train_3447,i love talking to people about books !!!,i love talking to people about books !!!,0,exp1,0,1,,,
,lingkling_80778,Love when your so tired it looks like you have two black eyes ğŸ‘Œ #Sarcasm,Love when your so tired it looks like you have two black eyes ğŸ‘Œ,1,exp2,1,1,Don't love when your so tired it looks like you have two black eyes ğŸ‘Œ,,
2680.0,sign_12246,i love having people in my life that only get a hold of me when they want something or want to vent or complain,i love having people in my life that only get a hold of me when they want something or want to vent or complain,1,exp1,1,1,I don't love having people in my life that only get a hold of me when they want something or want to vent or complain,,
,lingkling_67456,"Love a good Facebook friend clearout, well done to those who survived #sarcasm #facebook","Love a good Facebook friend clearout, well done to those who survived",1,exp2,0,0,,,
,lingkling_68444,I love getting paid 100$ in 1s! #sarcasm #stripperlife,I love getting paid 100$ in 1s!,1,exp1,0,0,,,
,lingkling_71149,I just love it when my client doesn't show up to court. #sarcasm,I just love it when my client doesn't show up to court.,1,exp3,1,1,I just don't love it when my client doesn't show up to court.,,
10137.0,train_161,wow i love only ever buying gray and striped shirts,wow i love only ever buying gray and striped shirts,1,exp1,1,1,Wow i don't love only ever buying gray and striped shirts,,
,lingkling_66076,I just love arts and crafts and hot glue guns.. ğŸ˜’ #sarcasm,I just love arts and crafts and hot glue guns.. ğŸ˜’,1,exp3,1,1,I just don't love arts and crafts and hot glue guns.. ğŸ˜’,,
7164.0,test_a_664,Love the overhead view in the cricket,Love the overhead view in the cricket,0,exp2,0,1,,,
,lingkling_63610,I love how there's almost 4 soldiers try a hold back one Palestinian women #prt #sarcasm,I love how there's almost 4 soldiers try a hold back one Palestinian women,1,exp1,1,1,I don't love how there's almost 4 soldiers try a hold back one Palestinian women,,
,lingkling_67244,I fucking love paying my own tuition #sarcasm,I fucking love paying my own tuition,1,exp3,1,1,I don't fuck love paying my own tuition,,
11428.0,sign_1567,i love how relevant nebraska's primary will be next week,i love how relevant nebraska's primary will be next week,1,exp1,0,0,,,
,lingkling_6286,I love it when people stop right in front of the revolving door. #sarcasm #forrealthough,I love it when people stop right in front of the revolving door.,1,exp1,1,1,I don't love it when people stop right in front of the revolving door.,,
,lingkling_74613,I LOVE when people post snap chat edits to their Instagramâ˜ºï¸â˜ºï¸â˜ºï¸ #sarcasm,I LOVE when people post snap chat edits to their Instagramâ˜ºï¸â˜ºï¸â˜ºï¸,1,exp1,0,0,,,
,lingkling_72593,I love when coworkers love to make things awkward as hell.. ğŸ˜…ğŸ˜’ #sarcasm,I love when coworkers love to make things awkward as hell.. ğŸ˜…ğŸ˜’,1,exp1,1,1,I don't love when coworkers love to make things awkward as hell.. ğŸ˜…ğŸ˜’,,
,lingkling_61523,I just love when anxiety hits and there's nothing you can do! #Sarcasm ğŸ˜­,I just love when anxiety hits and there's nothing you can do! ğŸ˜­,1,exp3,1,1,I just don't love when anxiety hits and there's nothing you can do! ğŸ˜­,,
19798.0,sign_10334,nothing i love more then coming home to clean something i deep cleaned two days ago,nothing i love more then coming home to clean something i deep cleaned two days ago,1,exp1,0,0,,,
15507.0,sign_2773,i just love having to get my car towed on a sunday when i work the next day,i just love having to get my car towed on a sunday when i work the next day,1,exp3,1,1,I just don't love having to get my car towed on a sunday when i work the next day,,
1591.0,sign_10884,love that the refs r making their presence known,love that the refs r making their presence known,1,exp2,1,1,Don't love that the refs r making their presence known,,
10166.0,train_3320,i love the word junction,i love the word junction,0,exp1,1,0,I don't love the word junction,,
,lingkling_70072,"Yay, I love waking up with a headache! #sarcasm","Yay, I love waking up with a headache!",1,exp1,1,1,"Yay, I don't love waking up with a headache!",,
,lingkling_60776,I really love when people follow me 92726228 different times. #sarcastic #pleasestop,I really love when people follow me 92726228 different times.,1,exp3,1,1,I really don't love when people follow me 92726228 different times.,,
,lingkling_77347,Love bad moods that get taken out on me ğŸ˜… #sarcasm,Love bad moods that get taken out on me ğŸ˜…,1,exp2,1,1,Don't love bad moods that get taken out on me ğŸ˜…,,
,lingkling_6536,Love how @UAlbany_MBB players check my twitter + pick on me by taking what I say in my tweets + publicly laughing at it on twitter. #Sarcasm,Love how @user players check my twitter + pick on me by taking what I say in my tweets + publicly laughing at it on twitter.,1,exp2,1,1,Don't love how @user players check my twitter + pick on me by taking what I say in my tweets + publicly laughing at it on twitter.,,
,lingkling_67902,I love waiting for a delivery man.... #sarcastic #Bournemouth #latedelivery,I love waiting for a delivery man....,1,exp1,1,1,I don't love waiting for a delivery man....,,
,lingkling_75395,I just love how you can still get under my skin.. #sarcasm,I just love how you can still get under my skin..,1,exp3,1,1,I just don't love how you can still get under my skin..,,
,lingkling_62309,I love getting shit on by a dinosaur at work for trying not to be a dinosaur. #Sarcasm #WorkFrustration,I love getting shit on by a dinosaur at work for trying not to be a dinosaur.,1,exp1,1,1,I don't love getting shit on by a dinosaur at work for trying not to be a dinosaur.,,
11357.0,sign_1932,i love it when customers tell me who to vote for,i love it when customers tell me who to vote for,1,exp1,1,1,I don't love it when customers tell me who to vote for,,
13064.0,sign_12073,i love when i hide things from myself,i love when i hide things from myself,1,exp1,1,1,I don't love when i hide things from myself,,
,lingkling_42885,Love Lucille's love of life and sense of humor. #joy #humor #style http://t.co/0EM4sbIAxc,Love Lucille's love of life and sense of humor.,0,exp2,0,1,,,
,lingkling_73417,Love when people just sits down and looks at me. #sarcasm,Love when people just sits down and looks at me.,1,exp2,1,1,Don't love when people just sits down and looks at me.,,
,lingkling_64250,Love it when people text me back #sarcasm,Love it when people text me back,1,exp2,0,0,,,
,lingkling_74410,God I love when the Sox lose 1-0 #Sarcasm,God I love when the Sox lose 1-0,1,exp1,1,1,God I don't love when the Sox lose 1-0,,
,lingkling_76786,Loving the quality of the roads here in Pennsylvania ... #BumpBump #Sarcasm,Loving the quality of the roads here in Pennsylvania ...,1,exp2,1,1,Not Loving the quality of the roads here in Pennsylvania ...,,
,lingkling_81202,I love how you have to become an expert on medical codes and insurance policies in order to get a claim approved/processed. #sarcasm,I love how you have to become an expert on medical codes and insurance policies in order to get a claim approved/processed.,1,exp1,1,1,I don't love how you have to become an expert on medical codes and insurance policies in order to get a claim approved/processed.,,
,lingkling_73934,I just love watching all my friends get their happy endings while I just sit here secretly miserable. #sarcasm,I just love watching all my friends get their happy endings while I just sit here secretly miserable.,1,exp3,1,1,I just don't love watching all my friends get their happy endings while I just sit here secretly miserable.,,
,lingkling_6535,I just love when my eczema flares up ğŸ˜Š #Sarcasm,I just love when my eczema flares up ğŸ˜Š,1,exp3,1,1,I just don't love when my eczema flares up ğŸ˜Š,,
5037.0,sign_2160,i love nights where i'm tired but sleep doesn't come,i love nights where i'm tired but sleep doesn't come,1,exp1,1,1,I don't love nights where i'm tired but sleep doesn't come,,
,lingkling_70797,I love when someone threatens me with something &amp; says you'll lose your job #sarcasm #getouttamyface,I love when someone threatens me with something & says you'll lose your job,1,exp1,1,1,I don't love when someone threatens me with something & says you'll lose your job,,
,lingkling_70296,I love getting glass in my foot.... #sarcastic,I love getting glass in my foot....,1,exp1,1,1,I don't love getting glass in my foot....,,
,lingkling_61841,love being woken up to the sound of my yard being deforested #sarcasm #imissmytrees,love being woken up to the sound of my yard being deforested,1,exp2,1,1,Don't love being woken up to the sound of my yard being deforested,,
,lingkling_61420,I love how everyone is texting me ğŸ˜Š #sarcasm,I love how everyone is texting me ğŸ˜Š,1,exp1,0,0,,,
,lingkling_79446,I love when scalding hot drops of steam water drip all over my feet when I'm steaming clothes. #sarcasm,I love when scalding hot drops of steam water drip all over my feet when I'm steaming clothes.,1,exp1,1,1,I don't love when scalding hot drops of steam water drip all over my feet when I'm steaming clothes.,,
,lingkling_66489,I love working long weekends #sarcasm https://t.co/ukArLZskta,I love working long weekends,1,exp1,1,1,I don't love working long weekends,,
17300.0,sign_12241,i love how as soon as i start drinking i forget to filter the shit that comes out of my mouth,i love how as soon as i start drinking i forget to filter the shit that comes out of my mouth,1,exp1,1,1,I don't love how as soon as i start drinking i forget to filter the shit that comes out of my mouth,,
19497.0,train_284,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1,exp1,1,1,I don't love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,,
,lingkling_64692,I just love how everyone snapchats me back! #sarcasm,I just love how everyone snapchats me back!,1,exp3,1,1,I just don't love how everyone snapchats me back!,,
8386.0,sign_2660,i love testing my patience grocery shopping at walmart on a sunday night,i love testing my patience grocery shopping at walmart on a sunday night,1,exp1,1,1,I don't love testing my patience grocery shopping at walmart on a sunday night,,
,lingkling_6025,I love it when my boys sleep in late #6am #sarcasm,I love it when my boys sleep in late,1,exp1,1,1,I don't love it when my boys sleep in late,,
,lingkling_61928,"I love the song and all but when are women going to take offense at the ""Worth it"" song for portraying men as disposable objects? #sarcasm","I love the song and all but when are women going to take offense at the ""Worth it"" song for portraying men as disposable objects?",1,exp1,1,1,"I don't love the song and all but when are women going to take offense at the ""Worth it"" song for portraying men as disposable objects?",,
,lingkling_79823,i love #tea and #sarcasm and #rainydays :) x x,i love tea and and rainydays :) x x,1,exp1,0,0,,,
,lingkling_6095,I love delayed flights. #sarcasm,I love delayed flights.,1,exp1,1,1,I don't love delayed flights.,,
,lingkling_7493,I just love waking up before the sun on a Sat morning! #sarcasm,I just love waking up before the sun on a Sat morning!,1,exp3,1,1,I just don't love waking up before the sun on a Sat morning!,,
,lingkling_72833,I love how my random fact posts are doing what they were intended to do ğŸ˜‚ğŸ˜‚ #Annoying #Mood #Today #Sarcastic #Posting #WindUp #Merchant,I love how my random fact posts are doing what they were intended to do ğŸ˜‚ğŸ˜‚,1,exp1,1,1,I don't love how my random fact posts are doing what they were intended to do ğŸ˜‚ğŸ˜‚,,
,lingkling_75522,I LOVE IT when folks who've never been through what I'm going through try to tell me what to do &amp; how to feel. ğŸ˜ˆ #soannoying #sarcasm #ijs,I LOVE IT when folks who've never been through what I'm going through try to tell me what to do & how to feel. ğŸ˜ˆ,1,exp1,1,1,I don't love IT when folks who've never been through what I'm going through try to tell me what to do & how to feel. ğŸ˜ˆ,,
,lingkling_79603,I love how smug people get when they hate something seemingly everyone else loves. #sarcasm,I love how smug people get when they hate something seemingly everyone else loves.,1,exp1,1,1,I don't love how smug people get when they hate something seemingly everyone else loves.,,
,lingkling_75339,I love anxiety attacks ğŸ˜ #sarcasm,I love anxiety attacks ğŸ˜,1,exp1,1,1,I don't love anxiety attacks ğŸ˜,,
,lingkling_71658,I love it when people park right on my bumper leaving me no room to get out of my spot #sarcasm,I love it when people park right on my bumper leaving me no room to get out of my spot,1,exp1,1,1,I don't love it when people park right on my bumper leaving me no room to get out of my spot,,
,lingkling_66244,I just loooove being ignored #sarcasm,I just loooove being ignored,1,exp3,1,1,I just don't loooove being ignored,,
,lingkling_63300,I love getting 5 hours of sleep ğŸ‘ğŸ» #sarcasm #FucktheSandman,I love getting 5 hours of sleep ğŸ‘ğŸ»,1,exp1,0,0,,,
4817.0,sign_12360,i just love walking in the rain,i just love walking in the rain,1,exp3,1,1,I just don't love walking in the rain,,
,lingkling_7039,I love it when ppl feel it's ok to touch my hair. ğŸ˜ #sarcasm,I love it when ppl feel it's ok to touch my hair. ğŸ˜,1,exp1,0,0,,,
,lingkling_45932,Loving these dance videos Pastor @perrynoble has posted on FB and Twitter! ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„ #GoodFun #Humor,Loving these dance videos Pastor @user has posted on FB and Twitter! ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„,0,exp2,0,1,,,
,lingkling_73530,Love my phone being dry af #sarcasm,Love my phone being dry af,1,exp2,1,1,Don't love my phone being dry af,,
995.0,train_2456,i just love everyone posting wholesome pics with their pets when theyre home for break,i just love everyone posting wholesome pics with their pets when theyre home for break,0,exp3,0,1,,,
,lingkling_69996,I just love when people call me when I'm busy. #sarcasm #funny #joke,I just love when people call me when I'm busy.,1,exp3,1,1,I just don't love when people call me when I'm busy.,,
,lingkling_69445,I just LOVE when baby boomers speak about what's wrong with millennials #tellmemore #sarcasm,I just LOVE when baby boomers speak about what's wrong with millennials,1,exp3,1,1,I just don't love when baby boomers speak about what's wrong with millennials,,
,lingkling_78389,Love busting my ass so the incoming shift can stand around and do nothing #sarcasm #workingstiff #thegrind,Love busting my ass so the incoming shift can stand around and do nothing,1,exp2,1,1,Don't love busting my ass so the incoming shift can stand around and do nothing,,
,lingkling_7368,How I love being at work by myself. #not #sarcasm,How I love being at work by myself.,1,exp1,1,1,How I don't love being at work by myself.,,
,lingkling_72060,Love that #BattleFeel when the @EA_Battlefield just quits and takes you cm ack to the @Xbox home screen #sarcasm,Love that BattleFeel when the @user just quits and takes you cm ack to the @user home screen,1,exp2,1,1,Don't love that BattleFeel when the @user just quits and takes you cm ack to the @user home screen,,
,lingkling_68792,LOVE the diversity! #GOPDebate #Sarcasm,LOVE the diversity!,1,exp2,0,0,,,
,lingkling_61723,I love work so much that I'm missing two concerts this week just to go to work. #Sarcasm ğŸ˜‘,I love work so much that I'm missing two concerts this week just to go to work. ğŸ˜‘,1,exp1,0,0,,,
,lingkling_68327,I love the breed of man that's getting a tattoo these days! #sarcasm,I love the breed of man that's getting a tattoo these days!,1,exp1,0,0,,,
,lingkling_77216,@estherindc @kaysteiger I love how trump brings out the good in this country. #sarcasm,@user @user I love how trump brings out the good in this country.,1,exp1,0,0,,,
,lingkling_72545,I love seeing Aurora storm alerts in the middle of the day! #canyousaylightpollution #sarcasm,I love seeing Aurora storm alerts in the middle of the day!,1,exp1,1,1,I don't love seeing Aurora storm alerts in the middle of the day!,,
,lingkling_69243,Omg I love when people are out at the pool being loud and obnoxious! #sarcasm,Omg I love when people are out at the pool being loud and obnoxious!,1,exp1,1,1,Omg I don't love when people are out at the pool being loud and obnoxious!,,
,lingkling_63869,I love watching movies while my boyfriend sleeps #sarcasm,I love watching movies while my boyfriend sleeps,1,exp1,0,0,,,
6082.0,train_2408,@OfficialPLT I'd love to get some awesome activewear to go with my t-shirt and help me in my May challenge for @Shelter ğŸ˜ğŸ¤ğŸ¼ https://t.co/8NceX1fgTF,@user I'd love to get some awesome activewear to go with my t-shirt and help me in my May challenge for @user ğŸ˜ğŸ¤ğŸ¼,0,exp1,0,1,,,
,lingkling_6094,Love the view from my living room... #sarcasm #wtf #whataday https://t.co/N12mrLrJLi,Love the view from my living room...,1,exp2,0,0,,,
1331.0,sign_10917,love how someone just copies my tweets and deletes the source of the pics,love how someone just copies my tweets and deletes the source of the pics,1,exp2,1,1,Don't love how someone just copies my tweets and deletes the source of the pics,,
,lingkling_44110,I love this puppy! #cute #puppy #nola #dog #bff #golden #fit #fun #humor #love  https://t.co/PODJfDY59i,I love this puppy!,0,exp1,0,1,,,
,lingkling_78990,I just love when @my_pricechopper says they can't ring my stuff up because the systems are down and they do anyway. #sarcasm,I just love when @user says they can't ring my stuff up because the systems are down and they do anyway.,1,exp3,1,1,I just don't love when @user says they can't ring my stuff up because the systems are down and they do anyway.,,
18588.0,sign_3927,i just love it when it storms,i just love it when it storms,1,exp3,1,1,I just don't love it when it storms,,
,lingkling_68646,I really love @realDonaldTrump answers #sarcasm  #GOPDebate,I really love @user answers,1,exp3,1,1,I really don't love @user answers,,
11335.0,test_c_47,I hate living in such a cold place,I hate living in such a cold place,0,exp1,0,1,,,
,lingkling_74734,Loooooove when people ignore my texts ğŸ˜’ #sarcastic,Loooooove when people ignore my texts ğŸ˜’,1,exp2,0,0,,,
,lingkling_61605,I love how much you respect me ğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜Š #sarcasm,I love how much you respect me ğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜Š,1,exp1,0,0,,,
,lingkling_75352,I absolutely love closing the restaurant and then coming back to help with breakfast deliveries. #sarcasm #jobsecurity,I absolutely love closing the restaurant and then coming back to help with breakfast deliveries.,1,exp3,1,1,I absolutely don't love closing the restaurant and then coming back to help with breakfast deliveries.,,
14224.0,train_82,i love ingesting poison and then wondering why my tummy is rumbling the next morning,i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,exp1,1,1,I don't love ingesting poison and then wondering why my tummy is rumbling the next morning,,
,lingkling_62989,"@Twitch I love Twitch because it never breaks down, doesn't have server issues, has no delay, and promotes people with no viewers. #Sarcasm","@user I love Twitch because it never breaks down, doesn't have server issues, has no delay, and promotes people with no viewers.",1,exp1,0,0,,,
,lingkling_64481,I love when people say one thing but do another #sarcasm,I love when people say one thing but do another,1,exp1,1,1,I don't love when people say one thing but do another,,
,lingkling_62381,I just love how white people get to decide on what's racist and what's not. #sarcasm,I just love how white people get to decide on what's racist and what's not.,1,exp3,1,1,I just don't love how white people get to decide on what's racist and what's not.,,
,lingkling_65306,I love it when at family dinners people spend the whole dinner trying to get me to sign up for their fitness class. #sarcasm,I love it when at family dinners people spend the whole dinner trying to get me to sign up for their fitness class.,1,exp1,1,1,I don't love it when at family dinners people spend the whole dinner trying to get me to sign up for their fitness class.,,
,lingkling_7319,I just LOVE how I am always the second option... ğŸ˜’t #sarcasm,I just LOVE how I am always the second option... ğŸ˜’t,1,exp3,1,1,I just don't love how I am always the second option... ğŸ˜’t,,
,lingkling_6523,Loveeee going to bed alone.ğŸ‘¿ğŸ˜©ğŸ‘ğŸ» #sarcasm,Loveeee going to bed alone.ğŸ‘¿ğŸ˜©ğŸ‘ğŸ»,1,exp2,0,0,,,
,lingkling_67181,I love the reactiveness of our current times. #sarcasm,I love the reactiveness of our current times.,1,exp1,1,1,I don't love the reactiveness of our current times.,,
,lingkling_77647,Love waking up to the dulcet tones of my neighbour screaming at her kids #sarcasm,Love waking up to the dulcet tones of my neighbour screaming at her kids,1,exp2,1,1,Don't love waking up to the dulcet tones of my neighbour screaming at her kids,,
,lingkling_62540,I love when my mom monitors my Facebook feed and tells me to remove certain posts. #sarcasm,I love when my mom monitors my Facebook feed and tells me to remove certain posts.,1,exp1,1,1,I don't love when my mom monitors my Facebook feed and tells me to remove certain posts.,,
,lingkling_54391,Love this quote ğŸ‘Œ #qotd #jimihendrix #love #power #peace https://t.co/7AIpOpBFq8,Love this quote ğŸ‘Œ,0,exp2,0,1,,,
,lingkling_70385,Some days I really love my kids lol! #sarcastic,Some days I really love my kids lol!,1,exp3,1,1,Some days I really don't love my kids lol!,,
,lingkling_68207,I love having a long tough day and ending it like this... #sarcasm ğŸ˜’,I love having a long tough day and ending it like this... ğŸ˜’,1,exp1,0,0,,,
1848.0,sign_7093,i love when my joints randomly click pop during simple movements,i love when my joints randomly click pop during simple movements,1,exp1,1,1,I don't love when my joints randomly click pop during simple movements,,
,lingkling_63928,Love this #sarcasm #savioistakingovertheworld https://t.co/apEBwUH2ui,Love this,1,exp2,0,0,,,
,lingkling_60772,@Griffin_Lane I'd love to be aboard the 'Sea Bitch' any day #jk #sarcasm,@user I'd love to be aboard the 'Sea Bitch' any day,1,exp1,1,1,@user I hadn't love to be aboard the 'Sea Bitch' any day,,
,lingkling_80881,I love when people get tattoos based on ideas they loosely believe in at a young age.  #sarcasm,I love when people get tattoos based on ideas they loosely believe in at a young age.,1,exp1,1,1,I don't love when people get tattoos based on ideas they loosely believe in at a young age.,,
,lingkling_62114,I love when guys try to flirt with me at a stop light #sarcasm #likedthetruckthough,I love when guys try to flirt with me at a stop light,1,exp1,1,1,I don't love when guys try to flirt with me at a stop light,,
,lingkling_78581,Man I just love going to the movies solo... #sarcasm,Man I just love going to the movies solo...,1,exp3,1,1,Man I just don't love going to the movies solo...,,
,lingkling_64794,I love how sharing and connected my family is #sarcasm,I love how sharing and connected my family is,1,exp1,0,0,,,
,lingkling_70559,I love having to start all over at a new high school again. #sarcasm #gowildcats,I love having to start all over at a new high school again.,1,exp1,1,1,I don't love having to start all over at a new high school again.,,
,lingkling_63392,I love it when people lie to make themselves look better than they are. #sarcasm #unbridledjudgement,I love it when people lie to make themselves look better than they are.,1,exp1,1,1,I don't love it when people lie to make themselves look better than they are.,,
,lingkling_7892,I just love getting text from nurses at seven am... #sarcasm,I just love getting text from nurses at seven am...,1,exp3,1,1,I just don't love getting text from nurses at seven am...,,
18485.0,sign_12267,i love getting drawn on at work especially my face,i love getting drawn on at work especially my face,1,exp1,1,1,I don't love getting drawn on at work especially my face,,
,lingkling_76278,I love when technology is forced into existing workflows i/o letting technology broaden the scope of what you can accomplish  #sarcasm #ftw,I love when technology is forced into existing workflows i/o letting technology broaden the scope of what you can accomplish,1,exp1,1,1,I don't love when technology is forced into existing workflows i/o letting technology broaden the scope of what you can accomplish,,
,lingkling_63474,I just love my job lol #sarcasm,I just love my job lol,1,exp3,1,1,I just don't love my job lol,,
,lingkling_71227,Man I LOVE getting screwed over and being sent all over Lubbock to take care of 1 hold... #sarcasm #ThanksTexasTech,Man I LOVE getting screwed over and being sent all over Lubbock to take care of 1 hold...,1,exp1,1,1,Man I don't love getting screwed over and being sent all over Lubbock to take care of 1 hold...,,
,lingkling_59335,I love walking barefoot :-) #boho #hippie #Peace #barefoot #ILoveMyself #Freedom #Love #JahBless #Africanâ™¥,I love walking barefoot :-),0,exp1,0,1,,,
,lingkling_66138,I love when people don't show up for their appointments ğŸ˜… #sarcasm,I love when people don't show up for their appointments ğŸ˜…,1,exp1,1,1,I don't love when people don't show up for their appointments ğŸ˜…,,
,lingkling_6121,Love receiving lovely comments on my videos #sarcasm http://t.co/9gZSCRETFH,Love receiving lovely comments on my videos,1,exp2,0,0,,,
,lingkling_65322,I love it when people over-share. #Sarcasm,I love it when people over-share.,1,exp1,1,1,I don't love it when people over-share.,,
,lingkling_75030,"I love when I do full blown grocery shopping, with a list- yet have to turn around and go back the next day for missed items. ğŸ˜’ #sarcasm","I love when I do full blown grocery shopping, with a list- yet have to turn around and go back the next day for missed items. ğŸ˜’",1,exp1,0,0,,,
,lingkling_78435,I just love sitting on the train when I'm tired and have someone in the carriage chatting nonsense constantly #Sarcasm,I just love sitting on the train when I'm tired and have someone in the carriage chatting nonsense constantly,1,exp3,1,1,I just don't love sitting on the train when I'm tired and have someone in the carriage chatting nonsense constantly,,
12396.0,sign_12097,i love the way you lie,i love the way you lie,1,exp1,1,1,I don't love the way you lie,,
,lingkling_70579,Yay... I love living in a country stuck in the dark ages... #Sarcasm #MarriageEquaility,Yay... I love living in a country stuck in the dark ages...,1,exp1,1,1,Yay... I don't love living in a country stuck in the dark ages...,,
,lingkling_75230,I love having an asthma attack at 2:30 in the morning. #sarcasm,I love having an asthma attack at 2:30 in the morning.,1,exp1,1,1,I don't love having an asthma attack at 2:30 in the morning.,,
,lingkling_79792,*love* when someone calls my house asking for my ex. #sarcasm #HeHasntHadThisNumberIn6Years,*love* when someone calls my house asking for my ex.,1,exp2,1,1,*love* when someone calls my house asking for my ex.,,
,lingkling_8027,I love trying to pay a bill but can't because the site is down for maintenance. #sarcasm,I love trying to pay a bill but can't because the site is down for maintenance.,1,exp1,1,1,I don't love trying to pay a bill but can't because the site is down for maintenance.,,
827.0,test_a_849,Wow I love it when rich people get stuff for free.,Wow I love it when rich people get stuff for free.,1,exp1,1,1,Wow I don't love it when rich people get stuff for free.,,
857.0,test_a_731,I really love finishing my term with an period of enforced isolation thanks to the amazing governments controls on covid in school.,I really love finishing my term with an period of enforced isolation thanks to the amazing governments controls on covid in school.,1,exp3,0,0,,,
