ID,original_ID,tweet,sarcastic,rephrase
17618,test_a_727,I love my friends,0,
13604,train_921,i love shoegaze sm,0,
19730,train_447,I hate you so much @Eagles,1,Being an Eagles fan is disappointing
14998,train_3171,i hate being one of the boys bc one of them just sent me a picture of his poopðŸ¥²,0,
719,train_2204,I hate this guy so much https://t.co/lHPKXjNLL4,0,
10166,train_3320,i love the word junction,0,
9087,test_a_757,I love a Monday morning so glad the weekends over!,1,
19559,train_2771,i love my life,0,
6869,train_2810,i love my friends,0,
5755,train_2464,I love me some cupcakes! Especially Sprinkles. #CupcakeATM http://t.co/TPA7ZM8Nsf,0,
13002,train_2021,"I love professional wrestling, y'all",0,
5211,train_682,i love 6 hour panic attacks,1,I don't like having 6-hour panic attacks.
19299,train_2654,I LOVE LORDE GOODNIGHT,0,
7159,train_2825,i LOVE grocery shopping,0,
13743,train_2657,i love video games,0,
